Drug_ID	Drug	Y
"2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid"	"CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O"	-1.52
"4-amino-3-(4-chlorophenyl)butanoic acid"	"C1=CC(=CC=C1C(CC(=O)O)CN)Cl"	-1.52
"(2s)-2-[[4-[(2,4-diaminopteridin-6-yl)methyl-methylamino]benzoyl]amino]pentanedioic acid"	"CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O"	-1.5
"4-[(4-methylpiperazin-1-yl)methyl]-n-[4-methyl-3-[(4-pyridin-3-ylpyrimidin-2-yl)amino]phenyl]benzamide"	"CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5"	-1.5
"4-amino-1-[(2s,5s)-5-(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one"	"C1C[C@H](O[C@@H]1CO)N2C=CC(=NC2=O)N"	-1.5
"8-chloro-1-methyl-6-phenyl-4h-[1,2,4]triazolo[4,3-a][1,4]benzodiazepin-4-ol"	"CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2O)C4=CC=CC=C4"	-1.48
"10-hydroxy-2,4a,6a,6b,9,9,12a-heptamethyl-13-oxo-3,4,5,6,6a,7,8,8a,10,11,12,14b-dodecahydro-1h-picene-2-carboxylic acid"	"CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C"	-1.4
"8-(3-oxocyclopentyl)-1,3-dipropyl-7h-purine-2,6-dione"	"CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)C3CCC(=O)C3"	-1.4
"8-[(1s)-3-oxocyclopentyl]-1,3-dipropyl-7h-purine-2,6-dione"	"CCCN1C2=C(C(=O)N(C1=O)CCC)NC(=N2)[C@H]3CCC(=O)C3"	-1.4
"methyl n-[6-(4-pyridin-2-ylpiperazine-1-carbonyl)-1h-benzimidazol-2-yl]carbamate"	"COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)N3CCN(CC3)C4=CC=CC=N4"	-1.4
"4-[4-(4-fluorophenyl)-5-(2-methoxypyrimidin-4-yl)imidazol-1-yl]cyclohexan-1-ol"	"COC1=NC=CC(=N1)C2=C(N=CN2C3CCC(CC3)O)C4=CC=C(C=C4)F"	-1.4
"n-(2-methylphenyl)-4,5-dihydro-1h-imidazol-2-amine"	"CC1=CC=CC=C1NC2=NCCN2"	-1.39
"(3r,5r)-7-[2-(4-fluorophenyl)-3-phenyl-4-(phenylcarbamoyl)-5-propan-2-ylpyrrol-1-yl]-3,5-dihydroxyheptanoic acid"	"CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4"	-1.36
"7-chloro-3-[5-(2-hydroxypropan-2-yl)-1,2,4-oxadiazol-3-yl]-5-methyl-4h-imidazo[1,5-a][1,4]benzodiazepin-6-one"	"CC(C)(C1=NC(=NO1)C2=C3CN(C(=O)C4=C(N3C=N2)C=CC=C4Cl)C)O"	-1.34
"2-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethylamino]-5-(naphthalen-2-ylmethyl)-1h-pyrimidin-6-one"	"C[NH+](C)CC1=CC=C(CSCCNC2=NC(=O)C(=CN2)CC3=CC=C4C=CC=CC4=C3)O1"	-1.3
"5-chloro-n-(4-methoxy-3-piperazin-1-ylphenyl)-3-methyl-1-benzothiophene-2-sulfonamide"	"CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCNCC4"	-1.3
"2-[1-(4-chlorobenzoyl)-5-methoxy-2-methylindol-3-yl]acetic acid"	"CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O"	-1.3
"n-(2,4-dimethylphenyl)-4,5-dihydro-1h-imidazol-2-amine"	"CC1=CC(=C(C=C1)NC2=NCCN2)C"	-1.3
"n-(2,6-dichlorophenyl)-2-[[6-[4-(2-hydroxyethyl)piperazin-1-yl]-2-methylpyrimidin-4-yl]amino]-1,3-thiazole-5-carboxamide"	"CC1=NC(=CC(=N1)N2CCN(CC2)CCO)NC3=NC=C(S3)C(=O)NC4=C(C=CC=C4Cl)Cl"	-1.3
"2-(4-chlorophenyl)-2-[2,6-dichloro-4-(3,5-dioxo-1,2,4-triazin-2-yl)phenyl]acetonitrile"	"C1=CC(=CC=C1C(C#N)C2=C(C=C(C=C2Cl)N3C(=O)NC(=O)C=N3)Cl)Cl"	-1.3
"3-[[1-(aminomethyl)cyclohexyl]methyl]-4h-1,2,4-oxadiazol-5-one"	"C1CCC(CC1)(CC2=NOC(=O)N2)CN"	-1.3
"2-[2-(2,6-dichloroanilino)phenyl]acetic acid"	"C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl"	-1.3
"9-[(2r,5s)-5-(hydroxymethyl)oxolan-2-yl]-1h-purin-6-one"	"C1C[C@@H](O[C@@H]1CO)N2C=NC3=C2N=CNC3=O"	-1.3
"2-[1-(4-chlorobenzoyl)-5-methoxy-2-methyl-2,3-dihydroindol-3-yl]acetic acid"	"CC1C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O"	-1.26
"2-[(2s,3r)-1-(4-chlorobenzoyl)-5-methoxy-2-methyl-2,3-dihydroindol-3-yl]acetic acid"	"C[C@H]1[C@@H](C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O"	-1.26
"4-phenylbenzoic acid"	"C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O"	-1.26
"(e)-1-n'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-n-methyl-2-nitroethene-1,1-diamine"	"CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C"	-1.23
"n-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-n'-methyl-2-nitroethanimidamide"	"CN=C(C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C"	-1.23
"1-n'-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-1-n-methyl-2-nitroethene-1,1-diamine"	"CNC(=C[N+](=O)[O-])NCCSCC1=CC=C(O1)CN(C)C"	-1.23
"3-[(3s,5r,8r,9s,10s,12r,13s,14s)-3-[(2r,4s,5s,6r)-5-[(2s,4s,5s,6r)-5-[(2s,4s,5s,6r)-4,5-dihydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-4-hydroxy-6-methyloxan-2-yl]oxy-12,14-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2h-furan-5-one"	"C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5C[C@H]([C@]7([C@@]6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O"	-1.23
"4-amino-5-fluoro-1-[(2r,5s)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]pyrimidin-2-one"	"C1[C@H](O[C@H](S1)CO)N2C=C(C(=NC2=O)N)F"	-1.22
"3-[2-(dimethylamino)ethyl]-1h-indol-5-ol"	"CN(C)CCC1=CNC2=C1C=C(C=C2)O"	-1.19
"4-(3-amino-1h-1,2,4-triazol-5-yl)-n,n-dimethylpyridin-2-amine"	"CN(C)C1=[NH+]C=CC(=C1)C2=N[NH]C(=N2)N"	-1.17
"2-[4-(3-aminophenyl)-1,3-thiazol-2-yl]guanidine"	"C1=CC(=CC(=C1)N)C2=CSC(=N2)N=C(N)N"	-1.15
"n-[1-(cyclohexylmethyl)-2-[(5-ethoxypyridin-2-yl)methyl]benzimidazol-5-yl]-n-methylthiophene-2-sulfonamide"	"CCOC1=CN=C(C=C1)CC2=NC3=C(N2CC4CCCCC4)C=CC(=C3)N(C)S(=O)(=O)C5=CC=CS5"	-1.15
"[5-ethylsulfonyl-2-(oxan-4-yl)-3,4-dihydro-1h-pyrido[4,3-b]indol-8-yl]-(4-methylpiperidin-1-yl)methanone"	"CCS(=O)(=O)N1C2=C(CN(CC2)C3CCOCC3)C4=C1C=CC(=C4)C(=O)N5CCC(CC5)C"	-1.15
"hexadecyl 2-(trimethylazaniumyl)ethyl phosphate"	"CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C"	-1.14
"n-[(1-ethylpyrrolidin-2-yl)methyl]-2-methoxy-5-sulfamoylbenzamide"	"CCN1CCCC1CNC(=O)C2=C(C=CC(=C2)S(=O)(=O)N)OC"	-1.11
"5-bromo-n-[2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4h-indolo[4,3-fg]quinoline-9-carboxamide"	"CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O"	-1.1
"(6ar,9r)-5-bromo-n-[(1s,2s,4r,7s)-2-hydroxy-7-(2-methylpropyl)-5,8-dioxo-4-propan-2-yl-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-7-methyl-6,6a,8,9-tetrahydro-4h-indolo[4,3-fg]quinoline-9-carboxamide"	"CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C(C)C)NC(=O)[C@H]4CN([C@@H]5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O"	-1.1
"2-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one"	"CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)CN(C)C"	-1.1
"7,11-diazatricyclo[7.3.1.02,7]trideca-2,4-dien-6-one"	"C1C2CNCC1C3=CC=CC(=O)N3C2"	-1.09
"(2-butyl-1-benzofuran-3-yl)-[4-[2-(diethylamino)ethoxy]-3,5-diiodophenyl]methanone"	"CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I"	-1.08
"2-[2-[[5-(2-aminopropan-2-yl)furan-2-yl]methylsulfanyl]ethylamino]-5-[(6-methylpyridin-3-yl)methyl]-1h-pyrimidin-6-one;trihydrochloride"	"CC1=NC=C(C=C1)CC2=CN=C(NC2=O)NCCSCC3=CC=C(O3)C(C)(C)N.Cl.Cl.Cl"	-1.06
"(4s)-4-[[3-[2-(dimethylamino)ethyl]-1h-indol-5-yl]methyl]-1,3-oxazolidin-2-one"	"CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3"	-1.04
"methyl (1r,9r,10s,11r,12r,19r)-11-acetyloxy-12-ethyl-4-[(13s,15s,17s)-17-ethyl-17-hydroxy-13-methoxycarbonyl-1,11-diazatetracyclo[13.3.1.04,12.05,10]nonadeca-4(12),5,7,9-tetraen-13-yl]-8-formyl-10-hydroxy-5-methoxy-8,16-diazapentacyclo[10.6.1.01,9.02,7.016,19]nonadeca-2,4,6,13-tetraene-10-carboxylate"	"CC[C@@]1(C[C@@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O"	-1.03
"2-[2-phenyl-4-(1-phenylpropylcarbamoyl)quinolin-3-yl]oxyacetic acid"	"CCC(C1=CC=CC=C1)NC(=O)C2=C(C(=NC3=CC=CC=C32)C4=CC=CC=C4)OCC(=O)O"	-1.0
"n,n-dimethyl-2-[6-oxo-3-(2-phenylpyrazolo[1,5-a]pyridin-3-yl)pyridazin-1-yl]acetamide"	"CN(C)C(=O)CN1C(=O)C=CC(=N1)C2=C3C=CC=CN3N=C2C4=CC=CC=C4"	-1.0
"methyl 6-methyl-4-(3-nitroanilino)-2-oxocyclohex-3-ene-1-carboxylate"	"CC1CC(=CC(=O)C1C(=O)OC)NC2=CC(=CC=C2)[N+](=O)[O-]"	-1.0
"6-methoxy-1-phenylpyridazin-1-ium-4-amine"	"COC1=[N+](N=CC(=C1)N)C2=CC=CC=C2"	-1.0
"10-(benzenesulfonyl)-11-methylsulfanyl-2-piperazin-1-yl-1,8,12-triazatricyclo[7.3.0.03,7]dodeca-2,7,9,11-tetraene"	"CSC1=NN2C(=C1S(=O)(=O)C3=CC=CC=C3)N=C4CCCC4=C2N5CCNCC5"	-1.0
"4-[5-(4-methylphenyl)-3-(trifluoromethyl)pyrazol-1-yl]benzenesulfonamide"	"CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F"	-1.0
"6-[(3-chlorophenyl)-imidazol-1-ylmethyl]-1h-benzimidazole"	"C1=CC(=CC(=C1)Cl)C(C2=CC3=C(C=C2)N=CN3)N4C=CN=C4"	-1.0
"5-[(z)-[pyridin-3-yl-[3-(trifluoromethyl)phenyl]methylidene]amino]oxypentanoic acid"	"C1=CC(=CC(=C1)C(F)(F)F)/C(=N/OCCCCC(=O)O)/C2=CN=CC=C2"	-1.0
"4-[4-(azetidine-1-carbonyl)benzoyl]-1-[4-(1-cyclobutylpiperidin-4-yl)oxyphenyl]piperazin-2-one"	"C1CC(C1)N2CCC(CC2)OC3=CC=C(C=C3)N4CCN(CC4=O)C(=O)C5=CC=C(C=C5)C(=O)N6CCC6"	-1.0
"2-chloro-5-(2-phenyl-5-pyridin-4-yl-1h-imidazol-4-yl)phenol"	"C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC(=C(C=C4)Cl)O"	-1.0
"5-[3-(tert-butylamino)-2-hydroxypropoxy]-1,2,3,4-tetrahydronaphthalene-2,3-diol"	"CC(C)(C)NCC(COC1=CC=CC2=C1CC(C(C2)O)O)O"	-0.95
"methyl 4-(4-chloroanilino)-6-methyl-2-oxocyclohex-3-ene-1-carboxylate"	"CC1CC(=CC(=O)C1C(=O)OC)NC2=CC=C(C=C2)Cl"	-0.95
"n-tert-butyl-2-[2-hydroxy-3-[(3-hydroxy-2-methylbenzoyl)amino]-4-phenylsulfanylbutyl]-3,4,4a,5,6,7,8,8a-octahydro-1h-isoquinoline-3-carboxamide"	"CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O"	-0.93
"5-methoxy-8-oxo-[1,3]dioxolo[4,5-g]quinoline-7-carboxylic acid"	"CON1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O"	-0.92
"[4-(4-amino-6,7-dimethoxyquinazolin-2-yl)piperazin-1-yl]-(furan-2-yl)methanone"	"COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC"	-0.9
"5-chloro-n-[2-[4-(cyclohexylcarbamoylsulfamoyl)phenyl]ethyl]-2-methoxybenzamide"	"COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3"	-0.9
"2-[3-[[(2-benzhydryl-1-azabicyclo[2.2.2]octan-3-yl)amino]methyl]-4-methoxyphenyl]propan-2-ol"	"CC(C)(C1=CC(=C(C=C1)OC)CNC2C3CCN(C2C(C4=CC=CC=C4)C5=CC=CC=C5)CC3)O"	-0.89
"n-[1-[(6-aminopyridin-2-yl)methyl]piperidin-4-yl]-2-(3,3-difluorocyclopentyl)-2-hydroxy-2-phenylacetamide"	"C1CC(CC1C(C2=CC=CC=C2)(C(=O)NC3CCN(CC3)CC4=NC(=CC=C4)N)O)(F)F"	-0.89
"n-(4-chloro-2-methylphenyl)-4,5-dihydro-1h-imidazol-2-amine"	"CC1=C(C=CC(=C1)Cl)NC2=NCCN2"	-0.87
"4-amino-n-(6-methoxypyridazin-3-yl)benzenesulfonamide"	"COC1=NN=C(C=C1)NS(=O)(=O)C2=CC=C(C=C2)N"	-0.85
"7-(4-amino-5-hydroxy-6-methyloxan-2-yl)oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7h-tetracene-5,12-dione"	"CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O"	-0.83
"(7s,9s)-7-[(2r,4s,5s,6s)-4-amino-5-hydroxy-6-methyloxan-2-yl]oxy-6,9,11-trihydroxy-9-(2-hydroxyacetyl)-4-methoxy-8,10-dihydro-7h-tetracene-5,12-dione"	"C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O"	-0.83
"6-methoxy-2-[(4-methoxy-3,5-dimethylpyridin-2-yl)methylsulfinyl]-1h-benzimidazole"	"CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC"	-0.82
"1-cyano-3-[2-[[2-(diaminomethylideneamino)-1,3-thiazol-4-yl]methylsulfanyl]ethyl]-2-methylguanidine"	"NC(NC1=NC(CSCC/N=C(NC)/NC#N)=CS1)=N"	-0.8
"5-(4-ethylphenyl)-13-[methyl(2-pyridin-2-ylethyl)amino]-8-thia-3,5,10-triazatricyclo[7.4.0.02,7]trideca-1(13),2(7),3,9,11-pentaen-6-one"	"CCC1=CC=C(C=C1)N2C=NC3=C(C2=O)SC4=NC=CC(=C34)N(C)CCC5=CC=CC=N5"	-0.8
"n-(1,2,3,10-tetramethoxy-9-oxo-6,7-dihydro-5h-benzo[a]heptalen-7-yl)acetamide"	"CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC"	-0.8
"(2s)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"	"C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O"	-0.8
"4-amino-1-[4,5-bis(hydroxymethyl)oxolan-2-yl]pyrimidin-2-one"	"C1C(C(OC1N2C=CC(=NC2=O)N)CO)CO"	-0.79
"(2e)-3-methoxy-5-methyl-4-oxohexa-2,5-dienoic acid"	"CC(=C)C(=O)/C(=C\C(=O)O)/OC"	-0.79
"4-[(1-acetylpiperidin-4-yl)methoxy]-2-cyano-n-methyl-6-(spiro[3.5]nonan-7-ylmethylamino)pyrimidine-5-carboxamide"	"CC(=O)N1CCC(CC1)COC2=NC(=NC(=C2C(=O)NC)NCC3CCC4(CCC4)CC3)C#N"	-0.79
"2-amino-3-(3,4-dihydroxyphenyl)propanoic acid"	"C1=CC(=C(C=C1CC(C(=O)O)N)O)O"	-0.77
"7-fluoro-2-methyl-6-(4-methylpiperazin-1-yl)-10-oxo-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5(13),6,8,11-tetraene-11-carboxylic acid"	"CC1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O"	-0.76
"1-[4-benzyl-2-hydroxy-5-[(2-hydroxy-2,3-dihydro-1h-inden-1-yl)amino]-5-oxopentyl]-n-tert-butyl-4-(pyridin-3-ylmethyl)piperazine-2-carboxamide"	"CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5"	-0.74
"4-benzyl-n-[2-[[5-[(dimethylamino)methyl]furan-2-yl]methylsulfanyl]ethyl]-3-nitro-1h-pyrrol-2-amine"	"CN(C)CC1=CC=C(O1)CSCCNC2=C(C(=CN2)CC3=CC=CC=C3)[N+](=O)[O-]"	-0.73
"2-[[6-(benzylamino)-9-propan-2-ylpurin-2-yl]amino]butan-1-ol"	"CCC(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3"	-0.72
"[2-(hydroxymethyl)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)oxolan-3-yl]imino-iminoazanium"	"CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=N"	-0.72
"3,7-dihydropurine-6-thione"	"C1=NC2=C(N1)C(=S)N=CN2"	-0.71
"1-[4-cyano-4-(4-fluorophenyl)cyclohexyl]-3-methyl-4-phenylpiperidine-4-carboxylic acid"	"CC1CN(CCC1(C2=CC=CC=C2)C(=O)O)C3CCC(CC3)(C#N)C4=CC=C(C=C4)F"	-0.7
"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine"	"CC1C2=C(C=CC=C2Cl)NC(=N1)N"	-0.7
"(2-methoxy-3-octadecoxypropyl) 2-(trimethylazaniumyl)ethyl phosphate"	"CCCCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC"	-0.7
"2-[(2r)-butan-2-yl]-4-[4-[4-[4-[[(2s,4r)-2-(4-chlorophenyl)-2-[(4-methyl-1,2,4-triazol-3-yl)sulfanylmethyl]-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-1,2,4-triazol-3-one"	"CC[C@@H](C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@@H]5CO[C@@](O5)(CSC6=NN=CN6C)C7=CC=C(C=C7)Cl"	-0.7
"4-[4-[4-(1-cyclobutylpiperidin-4-yl)oxyphenyl]-3-oxopiperazine-1-carbonyl]benzonitrile"	"C1CC(C1)N2CCC(CC2)OC3=CC=C(C=C3)N4CCN(CC4=O)C(=O)C5=CC=C(C=C5)C#N"	-0.7
"1-methyl-n-(9-methyl-9-azabicyclo[3.3.1]nonan-3-yl)indazole-3-carboxamide"	"CN1C2CCCC1CC(C2)NC(=O)C3=NN(C4=CC=CC=C43)C"	-0.69
"2-cyano-n-methyl-4-(piperidin-4-ylmethoxy)-6-(spiro[3.5]nonan-7-ylmethylamino)pyrimidine-5-carboxamide"	"CNC(=O)C1=C(N=C(N=C1OCC2CCNCC2)C#N)NCC3CCC4(CCC4)CC3"	-0.67
"3-[2-[4-(6-fluoro-1,2-benzoxazol-3-yl)piperidin-1-yl]ethyl]-7-hydroxy-2-methyl-6,7,8,9-tetrahydropyrido[1,2-a]pyrimidin-4-one"	"CC1=C(C(=O)N2CC(CCC2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F"	-0.67
"1-[3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1,2,4-triazole-3-carboxamide"	"C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N"	-0.67
"n-[2-[(3-bromopyridin-2-yl)methylsulfanyl]ethyl]-3-nitro-1h-pyrrol-2-amine"	"C1=CC(=C(N=C1)CSCCNC2=C(C=CN2)[N+](=O)[O-])Br"	-0.67
"1-ethyl-7-methyl-4-oxo-1,8-naphthyridine-3-carboxylic acid"	"CCN1C=C(C(=O)C2=C1N=C(C=C2)C)C(=O)O"	-0.66
"3-nitro-n-[2-(pyridin-2-ylmethylsulfanyl)ethyl]-1h-pyrrol-2-amine"	"C1=CC=NC(=C1)CSCCNC2=C(C=CN2)[N+](=O)[O-]"	-0.66
"[4-(6,7-dimethoxy-4-methylquinazolin-2-yl)piperazin-1-yl]-(furan-2-yl)methanone"	"CC1=NC(=NC2=CC(=C(C=C12)OC)OC)N3CCN(CC3)C(=O)C4=CC=CO4"	-0.66
"n-(2-chloro-4-methylphenyl)-4,5-dihydro-1h-imidazol-2-amine"	"CC1=CC(=C(C=C1)NC2=NCCN2)Cl"	-0.65
"2-butan-2-yl-4-[4-[4-[4-[[(2r,4s)-2-(2,4-dichlorophenyl)-2-(1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]phenyl]-1,2,4-triazol-3-one"	"CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5CO[C@](O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl"	-0.64
"2-(3,4-dimethoxyphenyl)-5-[2-(3,4-dimethoxyphenyl)ethylamino]-2-propan-2-ylpentanenitrile"	"CC(C)C(CCCNCCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC"	-0.64
"1-[4-[4-[[(2s)-2-(2,4-dichlorophenyl)-2-(imidazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy]phenyl]piperazin-1-yl]ethanone"	"CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OCC3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl"	-0.63
"2-[1-[2-(2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide"	"C1CN(CC1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5"	-0.62
"2-[(3s)-1-[2-(2,3-dihydro-1-benzofuran-5-yl)ethyl]pyrrolidin-3-yl]-2,2-diphenylacetamide"	"C1CN(C[C@@H]1C(C2=CC=CC=C2)(C3=CC=CC=C3)C(=O)N)CCC4=CC5=C(C=C4)OCC5"	-0.62
"1-[4-fluoro-5-(hydroxymethyl)oxolan-2-yl]-5-methylpyrimidine-2,4-dione"	"CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)F"	-0.6
"methyl carbamimidothioate"	"CSC(=N)N"	-0.6
"4-(2,4-difluorobenzoyl)-1-[4-[3-[(2r)-2-methylpyrrolidin-1-yl]propoxy]phenyl]piperazin-2-one"	"C[C@@H]1CCCN1CCCOC2=CC=C(C=C2)N3CCN(CC3=O)C(=O)C4=C(C=C(C=C4)F)F"	-0.6
"(3as)-2,3,3a,4-tetrahydro-1h-pyrrolo[2,1-c][1,2,4]benzothiadiazine 5,5-dioxide"	"C1C[C@@H]2NS(=O)(=O)C3=CC=CC=C3N2C1"	-0.6
"5-hydroxy-5,6-dihydrobenzo[b][1]benzazepine-11-carboxamide"	"C1C(C2=CC=CC=C2N(C3=CC=CC=C31)C(=O)N)O"	-0.59
"oxolan-3-yl n-[4-[(4-aminophenyl)sulfonyl-(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl]carbamate"	"CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N"	-0.56
"[(3r)-oxolan-3-yl] n-[(2s,3r)-4-[(4-aminophenyl)sulfonyl-(2-methylpropyl)amino]-3-hydroxy-1-phenylbutan-2-yl]carbamate"	"CC(C)CN(C[C@H]([C@H](CC1=CC=CC=C1)NC(=O)O[C@@H]2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N"	-0.56
